CODE,NAME,YEAR,SERIES,VALUE
1,"Total, all countries or areas",1985,GDP in current prices (millions of US dollars),13567237.72
1,"Total, all countries or areas",1985,GDP per capita (US dollars),2787.1426
1,"Total, all countries or areas",1985,GDP in constant 2015 prices (millions of US dollars),30053962.64
1,"Total, all countries or areas",1985,GDP real rates of growth (percent),3.5463
1,"Total, all countries or areas",1995,GDP in current prices (millions of US dollars),31128272.88
1,"Total, all countries or areas",1995,GDP per capita (US dollars),5420.2254
1,"Total, all countries or areas",1995,GDP in constant 2015 prices (millions of US dollars),40241006.63
1,"Total, all countries or areas",1995,GDP real rates of growth (percent),3.1363
1,"Total, all countries or areas",2005,GDP in current prices (millions of US dollars),47605038.38
1,"Total, all countries or areas",2005,GDP per capita (US dollars),7278.7537
1,"Total, all countries or areas",2005,GDP in constant 2015 prices (millions of US dollars),56369519.93
1,"Total, all countries or areas",2005,GDP real rates of growth (percent),4.074
1,"Total, all countries or areas",2010,GDP in current prices (millions of US dollars),66231828.75
1,"Total, all countries or areas",2010,GDP per capita (US dollars),9522.7233
1,"Total, all countries or areas",2010,GDP in constant 2015 prices (millions of US dollars),64699160.78
1,"Total, all countries or areas",2010,GDP real rates of growth (percent),4.432
1,"Total, all countries or areas",2015,GDP in current prices (millions of US dollars),74882647.96
1,"Total, all countries or areas",2015,GDP per capita (US dollars),10149.4233
1,"Total, all countries or areas",2015,GDP in constant 2015 prices (millions of US dollars),74882647.96
1,"Total, all countries or areas",2015,GDP real rates of growth (percent),3.0359
1,"Total, all countries or areas",2017,GDP in current prices (millions of US dollars),80789197.88
1,"Total, all countries or areas",2017,GDP per capita (US dollars),10706.1796
1,"Total, all countries or areas",2017,GDP in constant 2015 prices (millions of US dollars),79428815.94
1,"Total, all countries or areas",2017,GDP real rates of growth (percent),3.3089
1,"Total, all countries or areas",2018,GDP in current prices (millions of US dollars),85693321.61
1,"Total, all countries or areas",2018,GDP per capita (US dollars),11232.2178
1,"Total, all countries or areas",2018,GDP in constant 2015 prices (millions of US dollars),81894343.28
1,"Total, all countries or areas",2018,GDP real rates of growth (percent),3.1041
