CODE,NAME,YEAR,SERIES,VALUE
1,"Total, all countries or areas",2005,Teachers at primary level (thousands),26889.6238
1,"Total, all countries or areas",2005,Pupil-teacher ratio in primary education,25.2484
1,"Total, all countries or areas",2005,Teachers at secondary level (thousands),28494.412
1,"Total, all countries or areas",2005,Pupil-teacher ratio in secondary education,17.8721
1,"Total, all countries or areas",2005,Teachers at tertiary level (thousands),9228.9159
1,"Total, all countries or areas",2010,Teachers at primary level (thousands),28671.0171
1,"Total, all countries or areas",2010,Pupil-teacher ratio in primary education,24.3103
1,"Total, all countries or areas",2010,Teachers at secondary level (thousands),32336.4343
1,"Total, all countries or areas",2010,Pupil-teacher ratio in secondary education,16.8909
1,"Total, all countries or areas",2010,Teachers at tertiary level (thousands),11150.6143
1,"Total, all countries or areas",2015,Teachers at primary level (thousands),31161.4205
1,"Total, all countries or areas",2015,Pupil-teacher ratio in primary education,23.1059
1,"Total, all countries or areas",2015,Teachers at secondary level (thousands),33478.7472
1,"Total, all countries or areas",2015,Pupil-teacher ratio in secondary education,17.4134
1,"Total, all countries or areas",2015,Teachers at tertiary level (thousands),12918.0126
1,"Total, all countries or areas",2018,Teachers at primary level (thousands),32019.5983
1,"Total, all countries or areas",2018,Pupil-teacher ratio in primary education,23.4463
1,"Total, all countries or areas",2018,Teachers at secondary level (thousands),34984.0153
1,"Total, all countries or areas",2018,Pupil-teacher ratio in secondary education,16.9981
1,"Total, all countries or areas",2018,Teachers at tertiary level (thousands),13063.1375
15,Northern Africa,2005,Teachers at primary level (thousands),944.3133
15,Northern Africa,2005,Pupil-teacher ratio in primary education,24.3807
15,Northern Africa,2005,Teachers at secondary level (thousands),993.0389
15,Northern Africa,2005,Pupil-teacher ratio in secondary education,17.0157
15,Northern Africa,2005,Teachers at tertiary level (thousands),172.5389
15,Northern Africa,2010,Teachers at primary level (thousands),971.5736
15,Northern Africa,2010,Pupil-teacher ratio in primary education,24.2881
15,Northern Africa,2010,Teachers at secondary level (thousands),1161.7589
15,Northern Africa,2010,Pupil-teacher ratio in secondary education,14.9761
15,Northern Africa,2010,Teachers at tertiary level (thousands),209.4366
15,Northern Africa,2015,Teachers at primary level (thousands),1176.4578
15,Northern Africa,2015,Pupil-teacher ratio in primary education,21.9184
15,Northern Africa,2015,Teachers at secondary level (thousands),1204.9538
15,Northern Africa,2015,Pupil-teacher ratio in secondary education,15.7136
15,Northern Africa,2015,Teachers at tertiary level (thousands),258.113
15,Northern Africa,2018,Teachers at primary level (thousands),1247.539
15,Northern Africa,2018,Pupil-teacher ratio in primary education,22.7634
15,Northern Africa,2018,Teachers at secondary level (thousands),1255.5899
15,Northern Africa,2018,Pupil-teacher ratio in secondary education,16.0102
15,Northern Africa,2018,Teachers at tertiary level (thousands),269.9382
202,Sub-Saharan Africa,2005,Teachers at primary level (thousands),2576.058
202,Sub-Saharan Africa,2005,Pupil-teacher ratio in primary education,44.0129
202,Sub-Saharan Africa,2005,Teachers at secondary level (thousands),1171.6319
202,Sub-Saharan Africa,2005,Pupil-teacher ratio in secondary education,27.363
202,Sub-Saharan Africa,2005,Teachers at tertiary level (thousands),178.8135
202,Sub-Saharan Africa,2010,Teachers at primary level (thousands),3167.7236
202,Sub-Saharan Africa,2010,Pupil-teacher ratio in primary education,42.8995
202,Sub-Saharan Africa,2010,Teachers at secondary level (thousands),1868.0655
202,Sub-Saharan Africa,2010,Pupil-teacher ratio in secondary education,24.0426
202,Sub-Saharan Africa,2010,Teachers at tertiary level (thousands),263.3559
202,Sub-Saharan Africa,2015,Teachers at primary level (thousands),4070.1942
202,Sub-Saharan Africa,2015,Pupil-teacher ratio in primary education,38.5041
202,Sub-Saharan Africa,2015,Teachers at secondary level (thousands),2668.7223
202,Sub-Saharan Africa,2015,Pupil-teacher ratio in secondary education,21.3136
202,Sub-Saharan Africa,2015,Teachers at tertiary level (thousands),347.8077
202,Sub-Saharan Africa,2016,Teachers at primary level (thousands),4167.1286
202,Sub-Saharan Africa,2016,Pupil-teacher ratio in primary education,38.5167
202,Sub-Saharan Africa,2016,Teachers at secondary level (thousands),2636.8618
202,Sub-Saharan Africa,2016,Pupil-teacher ratio in secondary education,21.8634
202,Sub-Saharan Africa,2016,Teachers at tertiary level (thousands),362.9451
202,Sub-Saharan Africa,2018,Teachers at primary level (thousands),4397.2026
202,Sub-Saharan Africa,2018,Pupil-teacher ratio in primary education,38.3529
202,Sub-Saharan Africa,2018,Teachers at secondary level (thousands),2781.7638
202,Sub-Saharan Africa,2018,Pupil-teacher ratio in secondary education,22.0068
21,Northern America,2005,Teachers at primary level (thousands),1864.5455
21,Northern America,2005,Pupil-teacher ratio in primary education,14.3516
21,Northern America,2005,Teachers at secondary level (thousands),1773.9823
21,Northern America,2005,Pupil-teacher ratio in secondary education,15.2387
21,Northern America,2005,Teachers at tertiary level (thousands),1385.5926
21,Northern America,2010,Teachers at primary level (thousands),1919.9048
21,Northern America,2010,Pupil-teacher ratio in primary education,13.8369
21,Northern America,2010,Teachers at secondary level (thousands),1898.02
21,Northern America,2010,Pupil-teacher ratio in secondary education,14.1246
21,Northern America,2010,Teachers at tertiary level (thousands),1646.2896
21,Northern America,2015,Teachers at primary level (thousands),1847.1034
21,Northern America,2015,Pupil-teacher ratio in primary education,14.6683
21,Northern America,2015,Teachers at secondary level (thousands),1802.5378
21,Northern America,2015,Pupil-teacher ratio in secondary education,15.0138
21,Northern America,2015,Teachers at tertiary level (thousands),1785.749
21,Northern America,2018,Teachers at primary level (thousands),1944.8008
21,Northern America,2018,Pupil-teacher ratio in primary education,14.4252
21,Northern America,2018,Teachers at secondary level (thousands),1848.4095
21,Northern America,2018,Pupil-teacher ratio in secondary education,14.9396
21,Northern America,2018,Teachers at tertiary level (thousands),1758.667
419,Latin America & the Caribbean,2005,Teachers at primary level (thousands),2935.8696
419,Latin America & the Caribbean,2005,Pupil-teacher ratio in primary education,23.5291
419,Latin America & the Caribbean,2005,Teachers at secondary level (thousands),3470.0666
419,Latin America & the Caribbean,2005,Pupil-teacher ratio in secondary education,16.9721
419,Latin America & the Caribbean,2005,Teachers at tertiary level (thousands),1225.0668
419,Latin America & the Caribbean,2010,Teachers at primary level (thousands),2914.7584
419,Latin America & the Caribbean,2010,Pupil-teacher ratio in primary education,23.0606
419,Latin America & the Caribbean,2010,Teachers at secondary level (thousands),3548.9687
419,Latin America & the Caribbean,2010,Pupil-teacher ratio in secondary education,17.2522
419,Latin America & the Caribbean,2010,Teachers at tertiary level (thousands),1677.2443
419,Latin America & the Caribbean,2015,Teachers at primary level (thousands),2974.754
419,Latin America & the Caribbean,2015,Pupil-teacher ratio in primary education,21.721
419,Latin America & the Caribbean,2015,Teachers at secondary level (thousands),3905.9132
419,Latin America & the Caribbean,2015,Pupil-teacher ratio in secondary education,16.3961
419,Latin America & the Caribbean,2015,Teachers at tertiary level (thousands),1823.5894
