CODE,NAME,YEAR,SERIES,VALUE
4,Afghanistan,2010,Expenditure by level of education: primary (as % of government expenditure),62.1365
4,Afghanistan,2010,Expenditure by level of education: secondary (as % of government expenditure),26.6937
4,Afghanistan,2010,Expenditure by level of education: tertiary (as % of government expenditure),9.0322
4,Afghanistan,2010,Government expenditure on education (% of government expenditure),17.0676
4,Afghanistan,2010,Public expenditure on education (% of GDP),3.4795
4,Afghanistan,2015,Expenditure by level of education: primary (as % of government expenditure),56.6955
4,Afghanistan,2015,Expenditure by level of education: secondary (as % of government expenditure),24.3563
4,Afghanistan,2015,Expenditure by level of education: tertiary (as % of government expenditure),15.9538
4,Afghanistan,2015,Government expenditure on education (% of government expenditure),12.509
4,Afghanistan,2015,Public expenditure on education (% of GDP),3.2558
4,Afghanistan,2017,Expenditure by level of education: primary (as % of government expenditure),44.1906
4,Afghanistan,2017,Expenditure by level of education: secondary (as % of government expenditure),22.2537
4,Afghanistan,2017,Government expenditure on education (% of government expenditure),15.6614
4,Afghanistan,2017,Public expenditure on education (% of GDP),4.0589
8,Albania,2015,Expenditure by level of education: primary (as % of government expenditure),56.7669
8,Albania,2015,Expenditure by level of education: secondary (as % of government expenditure),21.5817
8,Albania,2015,Expenditure by level of education: tertiary (as % of government expenditure),21.156
8,Albania,2015,Government expenditure on education (% of government expenditure),11.3177
8,Albania,2015,Public expenditure on education (% of GDP),3.438
8,Albania,2017,Expenditure by level of education: primary (as % of government expenditure),57.6077
8,Albania,2017,Expenditure by level of education: secondary (as % of government expenditure),21.5625
8,Albania,2017,Expenditure by level of education: tertiary (as % of government expenditure),18.8501
8,Albania,2017,Government expenditure on education (% of government expenditure),12.3908
8,Albania,2017,Public expenditure on education (% of GDP),3.6103
8,Albania,2018,Government expenditure on education (% of government expenditure),8.4355
8,Albania,2018,Public expenditure on education (% of GDP),2.4687
20,Andorra,2010,Expenditure by level of education: pre-primary (as % of government expenditure),14.6094
20,Andorra,2010,Expenditure by level of education: primary (as % of government expenditure),28.8952
20,Andorra,2010,Expenditure by level of education: secondary (as % of government expenditure),20.9346
20,Andorra,2010,Expenditure by level of education: tertiary (as % of government expenditure),3.8613
20,Andorra,2010,Public expenditure on education (% of GDP),3.0574
20,Andorra,2013,Expenditure by level of education: pre-primary (as % of government expenditure),18.2028
20,Andorra,2013,Expenditure by level of education: primary (as % of government expenditure),32.1438
20,Andorra,2013,Expenditure by level of education: secondary (as % of government expenditure),35.2473
20,Andorra,2013,Expenditure by level of education: tertiary (as % of government expenditure),4.5889
20,Andorra,2013,Public expenditure on education (% of GDP),2.4381
20,Andorra,2015,Expenditure by level of education: pre-primary (as % of government expenditure),13.1793
20,Andorra,2015,Expenditure by level of education: primary (as % of government expenditure),22.0757
20,Andorra,2015,Expenditure by level of education: secondary (as % of government expenditure),24.9135
20,Andorra,2015,Expenditure by level of education: tertiary (as % of government expenditure),5.4748
20,Andorra,2015,Government expenditure on education (% of government expenditure),19.4891
20,Andorra,2015,Public expenditure on education (% of GDP),3.2537
20,Andorra,2018,Expenditure by level of education: pre-primary (as % of government expenditure),11.886
20,Andorra,2018,Expenditure by level of education: primary (as % of government expenditure),21.4204
20,Andorra,2018,Expenditure by level of education: secondary (as % of government expenditure),25.3068
20,Andorra,2018,Expenditure by level of education: tertiary (as % of government expenditure),5.6411
20,Andorra,2018,Government expenditure on education (% of government expenditure),19.3231
20,Andorra,2018,Public expenditure on education (% of GDP),3.2269
24,Angola,2010,Government expenditure on education (% of government expenditure),8.6848
24,Angola,2010,Public expenditure on education (% of GDP),3.4213
32,Argentina,2010,Expenditure by level of education: pre-primary (as % of government expenditure),7.437
32,Argentina,2010,Expenditure by level of education: primary (as % of government expenditure),33.0549
32,Argentina,2010,Expenditure by level of education: secondary (as % of government expenditure),39.65
32,Argentina,2010,Expenditure by level of education: tertiary (as % of government expenditure),19.8581
32,Argentina,2010,Government expenditure on education (% of government expenditure),15.048
32,Argentina,2010,Public expenditure on education (% of GDP),5.0197
32,Argentina,2015,Expenditure by level of education: pre-primary (as % of government expenditure),8.0902
32,Argentina,2015,Expenditure by level of education: primary (as % of government expenditure),30.0413
32,Argentina,2015,Expenditure by level of education: secondary (as % of government expenditure),41.3327
32,Argentina,2015,Expenditure by level of education: tertiary (as % of government expenditure),20.5357
32,Argentina,2015,Government expenditure on education (% of government expenditure),13.9633
32,Argentina,2015,Public expenditure on education (% of GDP),5.7761
32,Argentina,2017,Expenditure by level of education: pre-primary (as % of government expenditure),8.7857
32,Argentina,2017,Expenditure by level of education: primary (as % of government expenditure),29.5946
32,Argentina,2017,Expenditure by level of education: secondary (as % of government expenditure),39.5394
32,Argentina,2017,Expenditure by level of education: tertiary (as % of government expenditure),22.0803
32,Argentina,2017,Government expenditure on education (% of government expenditure),13.2639
32,Argentina,2017,Public expenditure on education (% of GDP),5.4622
51,Armenia,2010,Expenditure by level of education: tertiary (as % of government expenditure),11.654
51,Armenia,2010,Government expenditure on education (% of government expenditure),12.4005
51,Armenia,2010,Public expenditure on education (% of GDP),3.249
51,Armenia,2015,Expenditure by level of education: pre-primary (as % of government expenditure),11.7612
51,Armenia,2015,Expenditure by level of education: primary (as % of government expenditure),19.3593
51,Armenia,2015,Expenditure by level of education: tertiary (as % of government expenditure),12.689
51,Armenia,2015,Government expenditure on education (% of government expenditure),10.6564
51,Armenia,2015,Public expenditure on education (% of GDP),2.8059
51,Armenia,2017,Expenditure by level of education: pre-primary (as % of government expenditure),11.9971
51,Armenia,2017,Expenditure by level of education: primary (as % of government expenditure),19.3735
51,Armenia,2017,Expenditure by level of education: secondary (as % of government expenditure),46.8732
51,Armenia,2017,Expenditure by level of education: tertiary (as % of government expenditure),12.9924
51,Armenia,2017,Government expenditure on education (% of government expenditure),10.4031
51,Armenia,2017,Public expenditure on education (% of GDP),2.7076
533,Aruba,2010,Government expenditure on education (% of government expenditure),22.1437
533,Aruba,2010,Public expenditure on education (% of GDP),6.9293
533,Aruba,2015,Expenditure by level of education: pre-primary (as % of government expenditure),5.1561
533,Aruba,2015,Expenditure by level of education: primary (as % of government expenditure),23.8411
533,Aruba,2015,Expenditure by level of education: secondary (as % of government expenditure),30.6769
533,Aruba,2015,Expenditure by level of education: tertiary (as % of government expenditure),25.0983
533,Aruba,2015,Government expenditure on education (% of government expenditure),22.855
533,Aruba,2015,Public expenditure on education (% of GDP),6.4818
36,Australia,2010,Expenditure by level of education: pre-primary (as % of government expenditure),1.1666
36,Australia,2010,Expenditure by level of education: primary (as % of government expenditure),36.807
36,Australia,2010,Expenditure by level of education: secondary (as % of government expenditure),36.7889
36,Australia,2010,Expenditure by level of education: tertiary (as % of government expenditure),22.2766
36,Australia,2010,Government expenditure on education (% of government expenditure),14.324
36,Australia,2010,Public expenditure on education (% of GDP),5.5501
36,Australia,2015,Expenditure by level of education: pre-primary (as % of government expenditure),3.2599
36,Australia,2015,Expenditure by level of education: primary (as % of government expenditure),31.7843
36,Australia,2015,Expenditure by level of education: secondary (as % of government expenditure),30.5254
36,Australia,2015,Expenditure by level of education: tertiary (as % of government expenditure),28.8554
36,Australia,2015,Government expenditure on education (% of government expenditure),14.0797
36,Australia,2015,Public expenditure on education (% of GDP),5.312
40,Austria,2010,Expenditure by level of education: pre-primary (as % of government expenditure),10.3278
40,Austria,2010,Expenditure by level of education: primary (as % of government expenditure),17.1328
40,Austria,2010,Expenditure by level of education: secondary (as % of government expenditure),44.3599
40,Austria,2010,Expenditure by level of education: tertiary (as % of government expenditure),27.7145
40,Austria,2010,Government expenditure on education (% of government expenditure),10.7891
40,Austria,2010,Public expenditure on education (% of GDP),5.7005
40,Austria,2015,Expenditure by level of education: pre-primary (as % of government expenditure),8.8148
40,Austria,2015,Expenditure by level of education: primary (as % of government expenditure),16.5679
40,Austria,2015,Expenditure by level of education: secondary (as % of government expenditure),39.8774
40,Austria,2015,Expenditure by level of education: tertiary (as % of government expenditure),32.6336
40,Austria,2015,Government expenditure on education (% of government expenditure),10.6935
40,Austria,2015,Public expenditure on education (% of GDP),5.4568
31,Azerbaijan,2010,Expenditure by level of education: pre-primary (as % of government expenditure),7.0514
31,Azerbaijan,2010,Expenditure by level of education: tertiary (as % of government expenditure),14.0389
31,Azerbaijan,2010,Government expenditure on education (% of government expenditure),8.7008
31,Azerbaijan,2010,Public expenditure on education (% of GDP),2.7806
31,Azerbaijan,2015,Expenditure by level of education: pre-primary (as % of government expenditure),9.4829
31,Azerbaijan,2015,Expenditure by level of education: tertiary (as % of government expenditure),12.8161
31,Azerbaijan,2015,Government expenditure on education (% of government expenditure),7.6311
31,Azerbaijan,2015,Public expenditure on education (% of GDP),2.9517
31,Azerbaijan,2017,Expenditure by level of education: pre-primary (as % of government expenditure),11.2922
31,Azerbaijan,2017,Expenditure by level of education: tertiary (as % of government expenditure),16.4022
31,Azerbaijan,2017,Government expenditure on education (% of government expenditure),6.9504
31,Azerbaijan,2017,Public expenditure on education (% of GDP),2.4738
48,Bahrain,2013,Expenditure by level of education: primary (as % of government expenditure),32.0718
48,Bahrain,2013,Expenditure by level of education: secondary (as % of government expenditure),43.4031
48,Bahrain,2013,Expenditure by level of education: tertiary (as % of government expenditure),24.4047
48,Bahrain,2013,Government expenditure on education (% of government expenditure),7.2153
48,Bahrain,2013,Public expenditure on education (% of GDP),2.4769
48,Bahrain,2015,Expenditure by level of education: primary (as % of government expenditure),32.9869
48,Bahrain,2015,Expenditure by level of education: secondary (as % of government expenditure),44.2246
48,Bahrain,2015,Government expenditure on education (% of government expenditure),7.2974
48,Bahrain,2015,Public expenditure on education (% of GDP),2.6681
48,Bahrain,2017,Government expenditure on education (% of government expenditure),7.1804
48,Bahrain,2017,Public expenditure on education (% of GDP),2.3272
50,Bangladesh,2013,Government expenditure on education (% of government expenditure),13.8228
50,Bangladesh,2013,Public expenditure on education (% of GDP),1.9662
50,Bangladesh,2018,Government expenditure on education (% of government expenditure),14.6466
50,Bangladesh,2018,Public expenditure on education (% of GDP),1.986
52,Barbados,2010,Expenditure by level of education: secondary (as % of government expenditure),29.6374
52,Barbados,2010,Expenditure by level of education: tertiary (as % of government expenditure),32.5057
52,Barbados,2010,Government expenditure on education (% of government expenditure),17.4538
52,Barbados,2010,Public expenditure on education (% of GDP),6.0349
52,Barbados,2017,Expenditure by level of education: tertiary (as % of government expenditure),28.5407
52,Barbados,2017,Government expenditure on education (% of government expenditure),12.8792
52,Barbados,2017,Public expenditure on education (% of GDP),4.6565
112,Belarus,2010,Expenditure by level of education: pre-primary (as % of government expenditure),18.9914
112,Belarus,2010,Expenditure by level of education: tertiary (as % of government expenditure),17.1275
112,Belarus,2010,Government expenditure on education (% of government expenditure),11.7781
112,Belarus,2010,Public expenditure on education (% of GDP),5.0917
112,Belarus,2015,Expenditure by level of education: tertiary (as % of government expenditure),16.7563
112,Belarus,2015,Government expenditure on education (% of government expenditure),11.4617
112,Belarus,2015,Public expenditure on education (% of GDP),4.7875
112,Belarus,2017,Expenditure by level of education: pre-primary (as % of government expenditure),23.9527
