CODE,NAME,YEAR,SERIES,VALUE
1,"Total, all countries or areas",2005,Labour force participation - Total,63.75
1,"Total, all countries or areas",2005,Unemployment rate - Total,5.9
1,"Total, all countries or areas",2005,Labour force participation - Male,77.26
1,"Total, all countries or areas",2005,Unemployment rate - Male,5.72
1,"Total, all countries or areas",2005,Labour force participation - Female,50.29
1,"Total, all countries or areas",2005,Unemployment rate - Female,6.17
1,"Total, all countries or areas",2010,Labour force participation - Total,62.47
1,"Total, all countries or areas",2010,Unemployment rate - Total,5.92
1,"Total, all countries or areas",2010,Labour force participation - Male,76.14
1,"Total, all countries or areas",2010,Unemployment rate - Male,5.82
1,"Total, all countries or areas",2010,Labour force participation - Female,48.84
1,"Total, all countries or areas",2010,Unemployment rate - Female,6.07
1,"Total, all countries or areas",2015,Labour force participation - Total,61.37
1,"Total, all countries or areas",2015,Unemployment rate - Total,5.64
1,"Total, all countries or areas",2015,Labour force participation - Male,75.04
1,"Total, all countries or areas",2015,Unemployment rate - Male,5.52
1,"Total, all countries or areas",2015,Labour force participation - Female,47.72
1,"Total, all countries or areas",2015,Unemployment rate - Female,5.82
1,"Total, all countries or areas",2020,Labour force participation - Total,60.51
1,"Total, all countries or areas",2020,Unemployment rate - Total,5.42
1,"Total, all countries or areas",2020,Labour force participation - Male,74.02
1,"Total, all countries or areas",2020,Unemployment rate - Male,5.29
1,"Total, all countries or areas",2020,Labour force participation - Female,46.98
1,"Total, all countries or areas",2020,Unemployment rate - Female,5.61
2,Africa,2005,Labour force participation - Total,64.83
2,Africa,2005,Unemployment rate - Total,7.07
2,Africa,2005,Labour force participation - Male,75.08
2,Africa,2005,Unemployment rate - Male,6.7
2,Africa,2005,Labour force participation - Female,54.86
2,Africa,2005,Unemployment rate - Female,7.56
2,Africa,2010,Labour force participation - Total,64.55
2,Africa,2010,Unemployment rate - Total,6.5
2,Africa,2010,Labour force participation - Male,74.57
2,Africa,2010,Unemployment rate - Male,5.84
2,Africa,2010,Labour force participation - Female,54.79
2,Africa,2010,Unemployment rate - Female,7.36
2,Africa,2015,Labour force participation - Total,63.3
2,Africa,2015,Unemployment rate - Total,6.65
2,Africa,2015,Labour force participation - Male,72.81
2,Africa,2015,Unemployment rate - Male,6.13
2,Africa,2015,Labour force participation - Female,54.01
2,Africa,2015,Unemployment rate - Female,7.33
2,Africa,2020,Labour force participation - Total,63.06
2,Africa,2020,Unemployment rate - Total,6.77
2,Africa,2020,Labour force participation - Male,71.96
2,Africa,2020,Unemployment rate - Male,6.23
2,Africa,2020,Labour force participation - Female,54.36
2,Africa,2020,Unemployment rate - Female,7.47
15,Northern Africa,2005,Labour force participation - Total,46.96
15,Northern Africa,2005,Unemployment rate - Total,12.84
15,Northern Africa,2005,Labour force participation - Male,72.53
