CODE,NAME,YEAR,SERIES,VALUE
1,"Total, all countries or areas",2005,Employment by industry: Agriculture (%) Male and Female,36.97
1,"Total, all countries or areas",2005,Employment by industry: Industry (%) Male and Female,21.211
1,"Total, all countries or areas",2005,Employment by industry: Services (%) Male and Female,41.819
1,"Total, all countries or areas",2005,Employment by industry: Agriculture (%) Male,37.256
1,"Total, all countries or areas",2005,Employment by industry: Industry (%) Male,24.161
1,"Total, all countries or areas",2005,Employment by industry: Services (%) Male,38.584
1,"Total, all countries or areas",2005,Employment by industry: Agriculture (%) Female,36.531
1,"Total, all countries or areas",2005,Employment by industry: Industry (%) Female,16.678
1,"Total, all countries or areas",2005,Employment by industry: Services (%) Female,46.791
1,"Total, all countries or areas",2010,Employment by industry: Agriculture (%) Male and Female,33.045
1,"Total, all countries or areas",2010,Employment by industry: Industry (%) Male and Female,22.576
1,"Total, all countries or areas",2010,Employment by industry: Services (%) Male and Female,44.38
1,"Total, all countries or areas",2010,Employment by industry: Agriculture (%) Male,33.532
1,"Total, all countries or areas",2010,Employment by industry: Industry (%) Male,26.195
1,"Total, all countries or areas",2010,Employment by industry: Services (%) Male,40.272
1,"Total, all countries or areas",2010,Employment by industry: Agriculture (%) Female,32.284
1,"Total, all countries or areas",2010,Employment by industry: Industry (%) Female,16.931
1,"Total, all countries or areas",2010,Employment by industry: Services (%) Female,50.785
1,"Total, all countries or areas",2015,Employment by industry: Agriculture (%) Male and Female,28.872
1,"Total, all countries or areas",2015,Employment by industry: Industry (%) Male and Female,23.161
1,"Total, all countries or areas",2015,Employment by industry: Services (%) Male and Female,47.968
1,"Total, all countries or areas",2015,Employment by industry: Agriculture (%) Male,29.624
1,"Total, all countries or areas",2015,Employment by industry: Industry (%) Male,27.252
1,"Total, all countries or areas",2015,Employment by industry: Services (%) Male,43.123
1,"Total, all countries or areas",2015,Employment by industry: Agriculture (%) Female,27.686
1,"Total, all countries or areas",2015,Employment by industry: Industry (%) Female,16.715
1,"Total, all countries or areas",2015,Employment by industry: Services (%) Female,55.598
1,"Total, all countries or areas",2020,Employment by industry: Agriculture (%) Male and Female,26.48
1,"Total, all countries or areas",2020,Employment by industry: Industry (%) Male and Female,23.113
