CODE,NAME,YEAR,SERIES,VALUE
1,"Total, all countries or areas",2000,"Seats held by women in national parliament, as of February (%)",13.3396
1,"Total, all countries or areas",2005,"Seats held by women in national parliament, as of February (%)",15.9147
1,"Total, all countries or areas",2010,"Seats held by women in national parliament, as of February (%)",19.0306
1,"Total, all countries or areas",2015,"Seats held by women in national parliament, as of February (%)",22.2732
1,"Total, all countries or areas",2016,"Seats held by women in national parliament, as of February (%)",22.7371
1,"Total, all countries or areas",2017,"Seats held by women in national parliament, as of February (%)",23.3881
1,"Total, all countries or areas",2018,"Seats held by women in national parliament, as of February (%)",23.4288
1,"Total, all countries or areas",2019,"Seats held by women in national parliament, as of February (%)",24.2981
1,"Total, all countries or areas",2020,"Seats held by women in national parliament, as of February (%)",24.9343
15,Northern Africa,2000,"Seats held by women in national parliament, as of February (%)",5.439
15,Northern Africa,2005,"Seats held by women in national parliament, as of February (%)",10.8472
15,Northern Africa,2010,"Seats held by women in national parliament, as of February (%)",13.2065
15,Northern Africa,2015,"Seats held by women in national parliament, as of February (%)",24.5668
15,Northern Africa,2016,"Seats held by women in national parliament, as of February (%)",23.2049
15,Northern Africa,2017,"Seats held by women in national parliament, as of February (%)",23.8179
15,Northern Africa,2018,"Seats held by women in national parliament, as of February (%)",22.6357
15,Northern Africa,2019,"Seats held by women in national parliament, as of February (%)",22.6593
15,Northern Africa,2020,"Seats held by women in national parliament, as of February (%)",20.1292
202,Sub-Saharan Africa,2000,"Seats held by women in national parliament, as of February (%)",11.5237
202,Sub-Saharan Africa,2005,"Seats held by women in national parliament, as of February (%)",14.4434
202,Sub-Saharan Africa,2010,"Seats held by women in national parliament, as of February (%)",18.3981
202,Sub-Saharan Africa,2015,"Seats held by women in national parliament, as of February (%)",22.6417
202,Sub-Saharan Africa,2016,"Seats held by women in national parliament, as of February (%)",23.2714
202,Sub-Saharan Africa,2017,"Seats held by women in national parliament, as of February (%)",23.7273
202,Sub-Saharan Africa,2018,"Seats held by women in national parliament, as of February (%)",23.6443
202,Sub-Saharan Africa,2019,"Seats held by women in national parliament, as of February (%)",23.8813
202,Sub-Saharan Africa,2020,"Seats held by women in national parliament, as of February (%)",24.3356
14,Eastern Africa,2000,"Seats held by women in national parliament, as of February (%)",11.8943
14,Eastern Africa,2005,"Seats held by women in national parliament, as of February (%)",16.5918
14,Eastern Africa,2010,"Seats held by women in national parliament, as of February (%)",21.593
14,Eastern Africa,2015,"Seats held by women in national parliament, as of February (%)",27.1855
14,Eastern Africa,2016,"Seats held by women in national parliament, as of February (%)",28.8517
14,Eastern Africa,2017,"Seats held by women in national parliament, as of February (%)",29.695
14,Eastern Africa,2018,"Seats held by women in national parliament, as of February (%)",29.9949
14,Eastern Africa,2019,"Seats held by women in national parliament, as of February (%)",30.2232
14,Eastern Africa,2020,"Seats held by women in national parliament, as of February (%)",30.9276
17,Middle Africa,2000,"Seats held by women in national parliament, as of February (%)",8.61
17,Middle Africa,2005,"Seats held by women in national parliament, as of February (%)",11.2483
17,Middle Africa,2010,"Seats held by women in national parliament, as of February (%)",13.4652
17,Middle Africa,2015,"Seats held by women in national parliament, as of February (%)",18.1087
17,Middle Africa,2016,"Seats held by women in national parliament, as of February (%)",18.1087
17,Middle Africa,2017,"Seats held by women in national parliament, as of February (%)",17.4447
17,Middle Africa,2018,"Seats held by women in national parliament, as of February (%)",16.4334
17,Middle Africa,2019,"Seats held by women in national parliament, as of February (%)",17.0239
17,Middle Africa,2020,"Seats held by women in national parliament, as of February (%)",17.5758
18,Southern Africa,2000,"Seats held by women in national parliament, as of February (%)",22.4736
18,Southern Africa,2005,"Seats held by women in national parliament, as of February (%)",24.5833
18,Southern Africa,2010,"Seats held by women in national parliament, as of February (%)",33.3799
18,Southern Africa,2015,"Seats held by women in national parliament, as of February (%)",33.3777
18,Southern Africa,2016,"Seats held by women in national parliament, as of February (%)",33.3777
18,Southern Africa,2017,"Seats held by women in national parliament, as of February (%)",33.4225
18,Southern Africa,2018,"Seats held by women in national parliament, as of February (%)",33.6898
18,Southern Africa,2019,"Seats held by women in national parliament, as of February (%)",34.0454
18,Southern Africa,2020,"Seats held by women in national parliament, as of February (%)",35.5526
11,Western Africa,2000,"Seats held by women in national parliament, as of February (%)",8.1695
11,Western Africa,2005,"Seats held by women in national parliament, as of February (%)",10.2011
11,Western Africa,2010,"Seats held by women in national parliament, as of February (%)",11.5598
11,Western Africa,2015,"Seats held by women in national parliament, as of February (%)",14.4514
11,Western Africa,2016,"Seats held by women in national parliament, as of February (%)",13.9535
11,Western Africa,2017,"Seats held by women in national parliament, as of February (%)",14.8782
11,Western Africa,2018,"Seats held by women in national parliament, as of February (%)",14.8368
11,Western Africa,2019,"Seats held by women in national parliament, as of February (%)",14.8055
11,Western Africa,2020,"Seats held by women in national parliament, as of February (%)",14.8444
21,Northern America,2000,"Seats held by women in national parliament, as of February (%)",16.3043
21,Northern America,2005,"Seats held by women in national parliament, as of February (%)",17.4966
21,Northern America,2010,"Seats held by women in national parliament, as of February (%)",18.9771
21,Northern America,2015,"Seats held by women in national parliament, as of February (%)",21.7568
21,Northern America,2016,"Seats held by women in national parliament, as of February (%)",22.2798
21,Northern America,2017,"Seats held by women in national parliament, as of February (%)",22.2078
21,Northern America,2018,"Seats held by women in national parliament, as of February (%)",22.7865
21,Northern America,2019,"Seats held by women in national parliament, as of February (%)",25.0326
21,Northern America,2020,"Seats held by women in national parliament, as of February (%)",25.8778
419,Latin America & the Caribbean,2000,"Seats held by women in national parliament, as of February (%)",15.1846
419,Latin America & the Caribbean,2005,"Seats held by women in national parliament, as of February (%)",19.0095
419,Latin America & the Caribbean,2010,"Seats held by women in national parliament, as of February (%)",22.7013
419,Latin America & the Caribbean,2015,"Seats held by women in national parliament, as of February (%)",27.3829
419,Latin America & the Caribbean,2016,"Seats held by women in national parliament, as of February (%)",28.1991
419,Latin America & the Caribbean,2017,"Seats held by women in national parliament, as of February (%)",29.4076
419,Latin America & the Caribbean,2018,"Seats held by women in national parliament, as of February (%)",29.5213
419,Latin America & the Caribbean,2019,"Seats held by women in national parliament, as of February (%)",31.5839
419,Latin America & the Caribbean,2020,"Seats held by women in national parliament, as of February (%)",32.0936
29,Caribbean,2000,"Seats held by women in national parliament, as of February (%)",20.5909
29,Caribbean,2005,"Seats held by women in national parliament, as of February (%)",25.9752
29,Caribbean,2010,"Seats held by women in national parliament, as of February (%)",29.4068
29,Caribbean,2015,"Seats held by women in national parliament, as of February (%)",33.1081
29,Caribbean,2016,"Seats held by women in national parliament, as of February (%)",33.0229
29,Caribbean,2017,"Seats held by women in national parliament, as of February (%)",33.8005
29,Caribbean,2018,"Seats held by women in national parliament, as of February (%)",33.7449
29,Caribbean,2019,"Seats held by women in national parliament, as of February (%)",36.0927
29,Caribbean,2020,"Seats held by women in national parliament, as of February (%)",36.675
13,Central America,2000,"Seats held by women in national parliament, as of February (%)",14.3123
13,Central America,2005,"Seats held by women in national parliament, as of February (%)",17.3913
13,Central America,2010,"Seats held by women in national parliament, as of February (%)",21.5686
13,Central America,2015,"Seats held by women in national parliament, as of February (%)",30.1444
13,Central America,2016,"Seats held by women in national parliament, as of February (%)",32.5
13,Central America,2017,"Seats held by women in national parliament, as of February (%)",33.066
13,Central America,2018,"Seats held by women in national parliament, as of February (%)",32.5312
13,Central America,2019,"Seats held by women in national parliament, as of February (%)",36.2745
13,Central America,2020,"Seats held by women in national parliament, as of February (%)",36.9313
5,South America,2000,"Seats held by women in national parliament, as of February (%)",12.5325
5,South America,2005,"Seats held by women in national parliament, as of February (%)",15.7725
5,South America,2010,"Seats held by women in national parliament, as of February (%)",19.1983
5,South America,2015,"Seats held by women in national parliament, as of February (%)",22.2454
5,South America,2016,"Seats held by women in national parliament, as of February (%)",22.7202
5,South America,2017,"Seats held by women in national parliament, as of February (%)",24.4919
5,South America,2018,"Seats held by women in national parliament, as of February (%)",24.7916
5,South America,2019,"Seats held by women in national parliament, as of February (%)",26.1114
5,South America,2020,"Seats held by women in national parliament, as of February (%)",26.5202
142,Asia,2000,"Seats held by women in national parliament, as of February (%)",12.0766
142,Asia,2005,"Seats held by women in national parliament, as of February (%)",13.3108
142,Asia,2010,"Seats held by women in national parliament, as of February (%)",16.8335
142,Asia,2015,"Seats held by women in national parliament, as of February (%)",17.8047
142,Asia,2016,"Seats held by women in national parliament, as of February (%)",17.9493
142,Asia,2017,"Seats held by women in national parliament, as of February (%)",18.4092
142,Asia,2018,"Seats held by women in national parliament, as of February (%)",17.9048
142,Asia,2019,"Seats held by women in national parliament, as of February (%)",18.7629
142,Asia,2020,"Seats held by women in national parliament, as of February (%)",19.4874
143,Central Asia,2000,"Seats held by women in national parliament, as of February (%)",7.0064
143,Central Asia,2005,"Seats held by women in national parliament, as of February (%)",11.6216
143,Central Asia,2010,"Seats held by women in national parliament, as of February (%)",20
143,Central Asia,2015,"Seats held by women in national parliament, as of February (%)",21.7857
143,Central Asia,2016,"Seats held by women in national parliament, as of February (%)",21.0993
143,Central Asia,2017,"Seats held by women in national parliament, as of February (%)",21.2766
143,Central Asia,2018,"Seats held by women in national parliament, as of February (%)",21.2766
143,Central Asia,2019,"Seats held by women in national parliament, as of February (%)",21.0993
143,Central Asia,2020,"Seats held by women in national parliament, as of February (%)",25.3546
30,Eastern Asia,2000,"Seats held by women in national parliament, as of February (%)",18.2339
30,Eastern Asia,2005,"Seats held by women in national parliament, as of February (%)",18.1215
30,Eastern Asia,2010,"Seats held by women in national parliament, as of February (%)",18.6575
30,Eastern Asia,2015,"Seats held by women in national parliament, as of February (%)",20.3782
30,Eastern Asia,2016,"Seats held by women in national parliament, as of February (%)",20.3691
30,Eastern Asia,2017,"Seats held by women in national parliament, as of February (%)",20.4814
30,Eastern Asia,2018,"Seats held by women in national parliament, as of February (%)",20.9344
30,Eastern Asia,2019,"Seats held by women in national parliament, as of February (%)",21.4492
30,Eastern Asia,2020,"Seats held by women in national parliament, as of February (%)",21.6415
35,South-eastern Asia,2000,"Seats held by women in national parliament, as of February (%)",12.3367
35,South-eastern Asia,2005,"Seats held by women in national parliament, as of February (%)",15.534
35,South-eastern Asia,2010,"Seats held by women in national parliament, as of February (%)",19.2786
35,South-eastern Asia,2015,"Seats held by women in national parliament, as of February (%)",17.8393
35,South-eastern Asia,2016,"Seats held by women in national parliament, as of February (%)",18.3039
35,South-eastern Asia,2017,"Seats held by women in national parliament, as of February (%)",19.3453
35,South-eastern Asia,2018,"Seats held by women in national parliament, as of February (%)",19.1474
35,South-eastern Asia,2019,"Seats held by women in national parliament, as of February (%)",19.6093
35,South-eastern Asia,2020,"Seats held by women in national parliament, as of February (%)",20.4401
34,Southern Asia,2000,"Seats held by women in national parliament, as of February (%)",6.84
34,Southern Asia,2005,"Seats held by women in national parliament, as of February (%)",8.7895
34,Southern Asia,2010,"Seats held by women in national parliament, as of February (%)",18.2019
34,Southern Asia,2015,"Seats held by women in national parliament, as of February (%)",17.6449
34,Southern Asia,2016,"Seats held by women in national parliament, as of February (%)",17.6686
34,Southern Asia,2017,"Seats held by women in national parliament, as of February (%)",17.9647
34,Southern Asia,2018,"Seats held by women in national parliament, as of February (%)",13.918
34,Southern Asia,2019,"Seats held by women in national parliament, as of February (%)",15.7919
34,Southern Asia,2020,"Seats held by women in national parliament, as of February (%)",17.3389
145,Western Asia,2000,"Seats held by women in national parliament, as of February (%)",5.1909
145,Western Asia,2005,"Seats held by women in national parliament, as of February (%)",5.7374
145,Western Asia,2010,"Seats held by women in national parliament, as of February (%)",9.2907
145,Western Asia,2015,"Seats held by women in national parliament, as of February (%)",12.8196
145,Western Asia,2016,"Seats held by women in national parliament, as of February (%)",13.2075
145,Western Asia,2017,"Seats held by women in national parliament, as of February (%)",13.8022
145,Western Asia,2018,"Seats held by women in national parliament, as of February (%)",14.2532
145,Western Asia,2019,"Seats held by women in national parliament, as of February (%)",15.3367
145,Western Asia,2020,"Seats held by women in national parliament, as of February (%)",15.5653
135,Caucasus and Central Asia,2000,"Seats held by women in national parliament, as of February (%)",6.9705
135,Caucasus and Central Asia,2005,"Seats held by women in national parliament, as of February (%)",9.8837
135,Caucasus and Central Asia,2010,"Seats held by women in national parliament, as of February (%)",15.1188
135,Caucasus and Central Asia,2015,"Seats held by women in national parliament, as of February (%)",17.8609
