CODE,NAME,YEAR,SERIES,VALUE
8,Albania,2008,R & D personnel: Total (number in full-time equivalent),779
8,Albania,2008,R & D personnel: Researchers - total (number in full-time equivalent),467
8,Albania,2008,R & D personnel: Researchers - women (number in full-time equivalent),207
8,Albania,2008,R & D personnel: Technicians - total (number in full-time equivalent),120
8,Albania,2008,R & D personnel: Other supporting staff - total (number in full-time equivalent),192
12,Algeria,2005,R & D personnel: Total (number in full-time equivalent),7331
12,Algeria,2005,R & D personnel: Researchers - total (number in full-time equivalent),5593
12,Algeria,2005,R & D personnel: Researchers - women (number in full-time equivalent),2043
12,Algeria,2005,R & D personnel: Technicians - total (number in full-time equivalent),1134
12,Algeria,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),604
12,Algeria,2017,R & D personnel: Total (number in full-time equivalent),38045.58
12,Algeria,2017,R & D personnel: Researchers - total (number in full-time equivalent),33911.93
12,Algeria,2017,R & D personnel: Researchers - women (number in full-time equivalent),15841.39
12,Algeria,2017,R & D personnel: Technicians - total (number in full-time equivalent),1732.62
12,Algeria,2017,R & D personnel: Technicians - women (number in full-time equivalent),646.12
12,Algeria,2017,R & D personnel: Other supporting staff - total (number in full-time equivalent),2401.03
12,Algeria,2017,R & D personnel: Other supporting staff - women (number in full-time equivalent),973.21
16,American Samoa,2005,R & D personnel: Total (number in full-time equivalent),6
16,American Samoa,2005,R & D personnel: Researchers - total (number in full-time equivalent),6
24,Angola,2011,R & D personnel: Total (number in full-time equivalent),2038
24,Angola,2011,R & D personnel: Researchers - total (number in full-time equivalent),1150
24,Angola,2011,R & D personnel: Researchers - women (number in full-time equivalent),320
24,Angola,2011,R & D personnel: Technicians - total (number in full-time equivalent),858
24,Angola,2011,R & D personnel: Technicians - women (number in full-time equivalent),242
24,Angola,2011,R & D personnel: Other supporting staff - total (number in full-time equivalent),30
24,Angola,2011,R & D personnel: Other supporting staff - women (number in full-time equivalent),6
24,Angola,2016,R & D personnel: Researchers - total (number in full-time equivalent),542.7
24,Angola,2016,R & D personnel: Researchers - women (number in full-time equivalent),156.9
32,Argentina,2005,R & D personnel: Total (number in full-time equivalent),45361
32,Argentina,2005,R & D personnel: Researchers - total (number in full-time equivalent),31868
32,Argentina,2005,R & D personnel: Researchers - women (number in full-time equivalent),15416
32,Argentina,2005,R & D personnel: Technicians - total (number in full-time equivalent),7788
32,Argentina,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),5705
32,Argentina,2008,R & D personnel: Total (number in full-time equivalent),56987
32,Argentina,2008,R & D personnel: Researchers - total (number in full-time equivalent),41523
32,Argentina,2008,R & D personnel: Researchers - women (number in full-time equivalent),20690
32,Argentina,2008,R & D personnel: Technicians - total (number in full-time equivalent),8236
32,Argentina,2008,R & D personnel: Other supporting staff - total (number in full-time equivalent),7228
32,Argentina,2010,R & D personnel: Researchers - total (number in full-time equivalent),45960
32,Argentina,2010,R & D personnel: Researchers - women (number in full-time equivalent),22901
32,Argentina,2017,R & D personnel: Researchers - total (number in full-time equivalent),52383
32,Argentina,2017,R & D personnel: Researchers - women (number in full-time equivalent),27911
51,Armenia,2005,R & D personnel: Total (number in full-time equivalent),6892
51,Armenia,2005,R & D personnel: Researchers - total (number in full-time equivalent),5056
51,Armenia,2005,R & D personnel: Researchers - women (number in full-time equivalent),2329
51,Armenia,2005,R & D personnel: Technicians - total (number in full-time equivalent),345
51,Armenia,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),1491
51,Armenia,2010,R & D personnel: Total (number in full-time equivalent),6558
51,Armenia,2010,R & D personnel: Researchers - total (number in full-time equivalent),4981
51,Armenia,2010,R & D personnel: Researchers - women (number in full-time equivalent),2261
51,Armenia,2010,R & D personnel: Technicians - total (number in full-time equivalent),479
51,Armenia,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),672
51,Armenia,2017,R & D personnel: Total (number in full-time equivalent),4822
51,Armenia,2017,R & D personnel: Researchers - total (number in full-time equivalent),3588
51,Armenia,2017,R & D personnel: Researchers - women (number in full-time equivalent),1868
51,Armenia,2017,R & D personnel: Technicians - total (number in full-time equivalent),235
