CODE,NAME,YEAR,SERIES,VALUE
1,"Total, all countries or areas",2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.5261
1,"Total, all countries or areas",2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.6189
1,"Total, all countries or areas",2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.6889
1,"Total, all countries or areas",2017,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.7167
15,Northern Africa,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.3182
15,Northern Africa,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.4515
15,Northern Africa,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.6132
15,Northern Africa,2017,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.609
202,Sub-Saharan Africa,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.3669
202,Sub-Saharan Africa,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.3548
202,Sub-Saharan Africa,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.3692
202,Sub-Saharan Africa,2017,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.3766
21,Northern America,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.4721
21,Northern America,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.6596
21,Northern America,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.6324
21,Northern America,2017,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.688
419,Latin America & the Caribbean,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.5503
419,Latin America & the Caribbean,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.6606
419,Latin America & the Caribbean,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.7265
419,Latin America & the Caribbean,2017,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.666
143,Central Asia,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.2497
143,Central Asia,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.1763
143,Central Asia,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.1813
143,Central Asia,2017,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.1505
30,Eastern Asia,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.0447
30,Eastern Asia,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.173
30,Eastern Asia,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.421
30,Eastern Asia,2017,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.4683
35,South-eastern Asia,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.6358
35,South-eastern Asia,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.7464
35,South-eastern Asia,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.8825
35,South-eastern Asia,2017,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.9665
34,Southern Asia,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.6928
34,Southern Asia,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.6984
34,Southern Asia,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.5655
34,Southern Asia,2017,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.5619
145,Western Asia,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.4535
145,Western Asia,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.4949
145,Western Asia,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.5936
145,Western Asia,2017,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.6116
150,Europe,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.5883
150,Europe,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.7417
150,Europe,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.8442
150,Europe,2017,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.8647
53,Australia and New Zealand,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.8961
53,Australia and New Zealand,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.2301
53,Australia and New Zealand,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.8309
53,Australia and New Zealand,2017,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.847
8,Albania,2008,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.1541
8,Albania,2008,Gross domestic expenditure on R & D: Business enterprises (%),3.2603
8,Albania,2008,Gross domestic expenditure on R & D: Government (%),80.8046
8,Albania,2008,Gross domestic expenditure on R & D: Higher education (%),8.568
8,Albania,2008,Gross domestic expenditure on R & D: Funds from abroad (%),7.3672
12,Algeria,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.066
12,Algeria,2017,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.5424
12,Algeria,2017,Gross domestic expenditure on R & D: Business enterprises (%),6.7441
12,Algeria,2017,Gross domestic expenditure on R & D: Government (%),93.1311
12,Algeria,2017,Gross domestic expenditure on R & D: Funds from abroad (%),0.0246
12,Algeria,2017,Gross domestic expenditure on R & D: Not distributed (%),0.0312
16,American Samoa,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.3647
16,American Samoa,2006,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.3931
24,Angola,2016,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.0323
24,Angola,2016,Gross domestic expenditure on R & D: Government (%),100
32,Argentina,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.4207
32,Argentina,2005,Gross domestic expenditure on R & D: Business enterprises (%),31.0159
32,Argentina,2005,Gross domestic expenditure on R & D: Government (%),59.6143
32,Argentina,2005,Gross domestic expenditure on R & D: Higher education (%),5.7186
32,Argentina,2005,Gross domestic expenditure on R & D: Private non-profit (%),2.971
32,Argentina,2005,Gross domestic expenditure on R & D: Funds from abroad (%),0.6797
32,Argentina,2008,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.4706
32,Argentina,2008,Gross domestic expenditure on R & D: Business enterprises (%),26.5221
