CODE,NAME,YEAR,SERIES,VALUE
1,"Total, all countries or areas",1985,Grants of patents (number),397580
1,"Total, all countries or areas",1995,Grants of patents (number),430700
1,"Total, all countries or areas",2005,Grants of patents (number),633100
1,"Total, all countries or areas",2010,Grants of patents (number),914800
1,"Total, all countries or areas",2016,Grants of patents (number),1345800
1,"Total, all countries or areas",2017,Grants of patents (number),1397900
1,"Total, all countries or areas",2018,Grants of patents (number),1422800
2,Africa,2005,Grants of patents (number),4800
2,Africa,2010,Grants of patents (number),9600
2,Africa,2016,Grants of patents (number),7900
2,Africa,2017,Grants of patents (number),9400
2,Africa,2018,Grants of patents (number),8700
21,Northern America,2005,Grants of patents (number),159300
21,Northern America,2010,Grants of patents (number),238700
21,Northern America,2016,Grants of patents (number),329500
21,Northern America,2017,Grants of patents (number),342900
21,Northern America,2018,Grants of patents (number),331300
419,Latin America & the Caribbean,2005,Grants of patents (number),14200
419,Latin America & the Caribbean,2010,Grants of patents (number),17100
419,Latin America & the Caribbean,2016,Grants of patents (number),18900
419,Latin America & the Caribbean,2017,Grants of patents (number),20300
419,Latin America & the Caribbean,2018,Grants of patents (number),24700
142,Asia,2005,Grants of patents (number),288700
142,Asia,2010,Grants of patents (number),469700
142,Asia,2016,Grants of patents (number),765900
142,Asia,2017,Grants of patents (number),796400
142,Asia,2018,Grants of patents (number),812000
150,Europe,2005,Grants of patents (number),150900
150,Europe,2010,Grants of patents (number),160800
150,Europe,2016,Grants of patents (number),195900
150,Europe,2017,Grants of patents (number),203700
150,Europe,2018,Grants of patents (number),226900
9,Oceania,2005,Grants of patents (number),15200
9,Oceania,2010,Grants of patents (number),18900
9,Oceania,2016,Grants of patents (number),27700
9,Oceania,2017,Grants of patents (number),25200
9,Oceania,2018,Grants of patents (number),19200
8,Albania,2016,Resident patent filings (per million population),8
8,Albania,2017,Resident patent filings (per million population),6
8,Albania,2018,Resident patent filings (per million population),5
8,Albania,2005,Grants of patents (number),395
8,Albania,2010,Grants of patents (number),349
8,Albania,2016,Grants of patents (number),5
8,Albania,2017,Grants of patents (number),10
8,Albania,2018,Grants of patents (number),12
8,Albania,2010,Patents in force (number),349
8,Albania,2016,Patents in force (number),1645
8,Albania,2017,Patents in force (number),4946
8,Albania,2018,Patents in force (number),5021
12,Algeria,1995,Resident patent filings (per million population),1
12,Algeria,2005,Resident patent filings (per million population),2
12,Algeria,2010,Resident patent filings (per million population),2
12,Algeria,2016,Resident patent filings (per million population),3
12,Algeria,2017,Resident patent filings (per million population),4
12,Algeria,2018,Resident patent filings (per million population),4
12,Algeria,1995,Grants of patents (number),118
12,Algeria,2005,Grants of patents (number),443
12,Algeria,2010,Grants of patents (number),1076
12,Algeria,2016,Grants of patents (number),383
12,Algeria,2017,Grants of patents (number),256
12,Algeria,2018,Grants of patents (number),162
12,Algeria,2005,Patents in force (number),498
12,Algeria,2016,Patents in force (number),5618
12,Algeria,2017,Patents in force (number),2171
12,Algeria,2018,Patents in force (number),2084
20,Andorra,2018,Resident patent filings (per million population),13
20,Andorra,2017,Grants of patents (number),4
20,Andorra,2018,Grants of patents (number),6
20,Andorra,2017,Patents in force (number),4
20,Andorra,2018,Patents in force (number),10
28,Antigua and Barbuda,2018,Resident patent filings (per million population),52
28,Antigua and Barbuda,2018,Patents in force (number),78
